date,value,value_1,referencia
2015.3,AC,G,36
2016.5,T,C,7
2016.5,AC,DP,33
2016.6,PBT,DA,41
2016.9,PBT,G,34
2017.5,AC,CRI,10
2018.5,PBT,CRI,31
2018.5,AC,C,35
2019.5,PBT,ID,44
2019.5,AMR,ID,29
2019.5,AC,C,27
2019.8,AC,C,28
2020.5,AC,VD,26
2020.5,PBT,VD,26
2021.5,AMR,DA,30
2021.8,AMR,C,32
2021.5,PBT,C,38
2021.8,PBT,C,40
2022.3,AC,DE,37
2022.5,AC,I,39
2022.7,AC,I,43
2022.9,AC,G,42
