date,value,value_1,referencia
2020,AC PBT,VD,26
2019,AC,C,27
2020,AC,C,28
2019,AMR,ID,29
2021,AMR,DA,30
2016,T,C,7
2018,PBT,CRI,31
2017,AC,CRI,10
2021,AMR,C,32
2016,AC,DP,33
2016,PBT,G,34
2018,AC,C ,35
2015,AC,G,36
2022,AC,DE,37
2021,PBT,C,38
2022,AC,I,39
2021,PBT,C,40
2016,PBT,DA,41
2022,AC,G,42
2022,AC,I,43
2019,PBT,ID,44
