date,value,value_1,referencia
2015,AC,G,36
"2016, 2",T,C,7
"2016,4",AC,DP,33
"2016,6",PBT,DA,41
"2016,8",PBT,G,34
2017,AC,CRI,10
"2018,2",PBT,CRI,31
"2018,4",AC,C ,35
"2019,2",PBT,ID,44
"2019,4",AMR,ID,29
"2019,6",AC,C,27
"2020,2",AC PBT,VD,26
"2020,4",AC,C,28
"2021,2",AMR,DA,30
"2021,4",AMR,C,32
"2021,6",PBT,C,38
"2021,8",PBT,C,40
"2022,2",AC,DE,37
"2022,4",AC,I,39
"2022,6",AC,G,42
"2022,8",AC,I,43
